smiles_open,donor_class,acceptor_class,backbone,est_lambda_nm
CCN(/C=C/C=C/C(O)=C1C(=O)ON=C1C)CC,dialkyl_amine,isoxazolone,triene,626
CCN(/C=C/C=C/C(O)=C1C(=O)ON=C1C(F)(F)F)CC,dialkyl_amine,isoxazolone,triene,649
CCN(/C=C/C=C/C(O)=C1C(=O)NNC1=O)CC,dialkyl_amine,pyrazolidinedione,triene,610
CCN(/C=C/C=C/C(O)=C1C(=O)Nc2ccccc21)CC,aniline,oxindole,triene,640
CCN(CC)/C(C)=C/C=C/C(O)=C1C(=O)OC(C)(C)OC1=O,dialkyl_amine,meldrum,alpha_methyl_triene,545
CCN(CC)/C(C)=C/C=C/C(O)=C1C(=O)N(C)C(=O)N(C)C1=O,dialkyl_amine,barbituric,alpha_methyl_triene,570
CCN(CC)/C(C)=C/C=C/C(O)=C1C(=O)NC(=O)NC1=O,dialkyl_amine,barbituric,alpha_methyl_triene,570
CCN1C(=O)C(=C(O)/C=C/C=C(\C)N(CC)CC)C(=O)N(CC)C1=O,dialkyl_amine,barbituric,alpha_methyl_triene,570
CCN(CC)/C(C)=C/C=C/C(O)=C1C(=O)NC(=S)NC1=O,dialkyl_amine,thiobarbituric,alpha_methyl_triene,600
CCN(CC)/C(C)=C/C=C/C(O)=C1C(=O)N(C)C(=S)N(C)C1=O,dialkyl_amine,thiobarbituric,alpha_methyl_triene,600
CCN(CC)/C(C)=C/C=C/C(O)=C1C(=O)c2ccccc2C1=O,dialkyl_amine,indandione,alpha_methyl_triene,600
CCN(CC)/C(C)=C/C=C/C(O)=C1C(=O)N(c2ccccc2)N=C1C,aniline,pyrazolone,alpha_methyl_triene,630
CCN(CC)/C(C)=C/C=C/C(O)=C1C(=O)N(c2ccccc2)N=C1C(F)(F)F,aniline,pyrazolone,alpha_methyl_triene,709
CCN(CC)/C(C)=C/C=C/C(O)=C1C(=O)ON=C1C,dialkyl_amine,isoxazolone,alpha_methyl_triene,626
CCN(CC)/C(C)=C/C=C/C(O)=C1C(=O)ON=C1C(F)(F)F,dialkyl_amine,isoxazolone,alpha_methyl_triene,649
CCN(CC)/C(C)=C/C=C/C(O)=C1C(=O)NNC1=O,dialkyl_amine,pyrazolidinedione,alpha_methyl_triene,610
